Código do Termo;Termo;Data de início de vigência;Data de fim de vigência;Data de fim de implantação
40202429;Laringoscopia/traqueoscopia para diagnóstico e biópsia (tubo rígido);2009-02-13;;2010-10-15
40202437;Laringoscopia/traqueoscopia para diagnóstico e biópsia com aparelho flexível;2009-02-13;;2010-10-15
40202445;Laringoscopia/traqueoscopia para intubação oro ou nasotraqueal;2009-02-13;;2010-10-15
40202453;Ligadura elástica do esôfago, estômago ou duodeno;2009-02-13;;2010-10-15
40202470;Mucosectomia;2009-02-13;;2010-10-15
40202488;Nasofibrolaringoscopia para dignóstico e/ou biópsia;2009-02-13;;2010-10-15
40202496;Papilotomia biópsia e/ou citologia biliar e pancreática;2009-02-13;;2010-10-15
40202500;Papilotomia e dilatação biliar ou pancreática;2009-02-13;;2010-10-15
40202518;Papilotomia endoscópica (para retirada de cálculos coledocianos ou drenagem biliar);2009-02-13;;2010-10-15
40202526;Papilotomia, dilatação e colocação de prótese ou dreno biliar ou pancreático;2009-02-13;;2010-10-15
40202534;Passagem de sonda naso-enteral;2009-02-13;;2010-10-15
40202542;Polipectomia de cólon (independente do número de pólipos);2009-02-13;;2010-10-15
40202550;Polipectomia do esôfago, estômago ou duodeno (independente do número de pólipos);2009-02-13;;2010-10-15
40202569;Retirada de corpo estranho do cólon;2009-02-13;;2010-10-15
40202577;Retirada de corpo estranho do esôfago, estômago ou duodeno;2009-02-13;;2010-10-15
40202585;Retirada de corpo estranho no brônquio ou brônquico;2009-02-13;;2010-10-15
40202593;Retirada de tumor ou papiloma por broncoscopia;2009-02-13;;2010-10-15
40202607;Tamponamento de varizes do esôfago e estômago;2009-02-13;;2010-10-15
40202615;Endoscopia digestiva alta com biópsia e teste de urease (pesquisa Helicobacter pylori);2009-02-13;;2010-10-15
40202623;Traqueostomia por punção percutânea;2009-02-13;;2010-10-15
40202631;Tratamento endoscópico de hemoptise;2009-02-13;;2010-10-15
40202640;Uretrotomia endoscópica;2009-02-13;;2010-10-15
40202658;Colocação de balão intragástrico por via endoscópica para obesidade mórbida;2012-10-10;;2014-08-31
40202666;Colonoscopia com biópsia e/ou citologia;2009-02-13;;2010-10-15
40202674;Colonoscopia com dilatação segmentar;2009-02-13;;2010-10-15
40202682;Retossigmoidoscopia flexível com polipectomia;2009-02-13;;2010-10-15
40202690;Retossigmoidoscopia flexível com biópsia e/ou citologia;2009-02-13;;2010-10-15
40202704;Colonoscopia com estenostomia;2009-02-13;;2010-10-15
40202712;Colonoscopia com mucosectomia;2009-02-13;;2010-10-15
40202720;Retossigmoidoscopia rígida com biópsia e/ou citologia;2009-02-13;;2010-10-15
40202739;Retossigmoidoscopia rígida com polipectomia;2009-02-13;;2010-10-15
40202747;Endoscopia digestiva alta com cromoscopia e biópsia e/ou citologia;2009-02-13;;2010-10-15
40202755;Colonoscopia com tratamento de fístula;2009-02-13;;2010-10-15
40202763;Laringoscopia/traqueoscopia com laser para exérese de papiloma/tumor;2009-02-13;;2010-10-15
40202771;Retirada de balão intragástrico por via endoscópica;2012-10-10;;2014-08-31
40202780;Biópsia endoscópica por órgão;2021-08-01;;2021-10-31
40202798;Ecobroncoscopia com punção aspirativa com agulha fina;2021-08-01;;2021-10-31
40202801;Colocação endoscópica de balão intragástrco de curta permanência (6 meses);2021-08-01;;2021-10-31
40202810;Colocação endoscópica de balão intragástrico de longa permanência (9 - 12 meses);2021-08-01;;2021-10-31
40202828;Calibração endoscópica de balão de longa permanência;2021-08-01;;2021-10-31
40202836;Retirada endoscópica de balão intragástrico;2021-08-01;;2021-10-31
40301010;3-metil histidina, pesquisa e/ou dosagem no soro;2009-02-13;;2010-10-15
40301028;5-nucleotidase - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301036;Acetaminofen - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301044;Acetilcolinesterase, em eritrócitos - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301052;Acetona, pesquisa e/ou dosagem no soro;2009-02-13;;2010-10-15
40301060;Ácido ascórbico (vitamina C) - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301079;Ácido beta hidroxi butírico - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301087;Ácido fólico, pesquisa e/ou dosagem nos eritrócitos;2009-02-13;;2010-10-15
40301095;Ácido glioxílico - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301109;Ácido láctico (lactato) - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301117;Ácido orótico - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301125;Ácido oxálico - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301133;Ácido pirúvico - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301141;Ácido siálico - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301150;Ácido úrico - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301168;Ácido valpróico - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301176;Ácidos biliares - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301184;Ácidos graxos livres - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301192;Ácidos orgânicos (perfil quantitativo);2009-02-13;;2010-10-15
40301206;Acilcarnitinas (perfil qualitativo);2009-02-13;;2010-10-15
40301214;Acilcarnitinas (perfil quantitativo);2009-02-13;;2010-10-15
40301222;Albumina - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301230;Aldolase - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301249;Alfa-1-antitripsina, pesquisa e/ou dosagem no soro;2009-02-13;;2010-10-15
40301257;Alfa-1-glicoproteína ácida - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301265;Alfa-2-macroglobulina - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301273;Alumínio, pesquisa e/ou dosagem no soro;2009-02-13;;2010-10-15
40301281;Amilase - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301290;Aminoácidos, fracionamento e quantificação;2009-02-13;;2010-10-15
40301303;Amiodarona - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301311;Amitriptilina, nortriptilina (cada) - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301320;Amônia - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301338;Anfetaminas, pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301346;Antibióticos, pesquisa e/ou dosagem no soro, cada;2009-02-13;;2010-10-15
40301354;Apolipoproteína A (Apo A) - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301362;Apolipoproteína B (Apo B) - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301370;Barbitúricos, antidepressivos tricíclicos (cada) - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301389;Beta-glicuronidase - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301397;Bilirrubinas (direta, indireta e total) - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301400;Cálcio - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301419;Cálcio iônico - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301427;Capacidade de fixação de ferro - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301435;Carbamazepina - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301443;Carnitina livre - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301451;Carnitina total e frações - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301460;Caroteno - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301478;Ceruloplasmina - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301486;Ciclosporina, methotrexate - cada - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301494;Clearance de ácido úrico;2009-02-13;;2010-10-15
40301508;Clearance de creatinina;2009-02-13;;2010-10-15
40301516;Clearance de fosfato;2009-02-13;;2010-10-15
40301524;Clearance de uréia;2009-02-13;;2010-10-15
40301532;Clearance osmolar;2009-02-13;;2010-10-15
40301540;Clomipramina - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301559;Cloro - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301567;Cobre - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301575;Cocaína, pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301583;Colesterol (HDL) - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301591;Colesterol (LDL) - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301605;Colesterol total - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301613;Cotinina - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301621;Creatina - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301630;Creatinina - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301648;Creatino fosfoquinase total (CK) - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301656;Creatino fosfoquinase - fração MB - massa - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301664;Creatino fosfoquinase - fração MB - atividade - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301672;Cromatografia de aminoácidos (perfil qualitatitivo) - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301680;Curva glicêmica (4 dosagens) via oral ou endovenosa;2009-02-13;;2010-10-15
40301699;Desidrogenase alfa-hidroxibutírica - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301702;Desidrogenase glutâmica - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301710;Desidrogenase isocítrica - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301729;Desidrogenase láctica - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301737;Desidrogenase láctica - isoenzimas fracionadas - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301745;Benzodiazepínicos e similares (cada) - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301753;Digitoxina ou digoxina - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301761;Eletroferese de proteínas;2009-02-13;;2010-10-15
40301770;Eletroforese de glicoproteínas;2009-02-13;;2010-10-15
40301788;Eletroforese de lipoproteínas;2009-02-13;;2010-10-15
40301796;Enolase - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301800;Etossuximida - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301818;Fenilalanina, pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301826;Fenitoína - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301834;Fenobarbital - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301842;Ferro sérico - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301850;Formaldeído - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301869;Fosfatase ácida fração prostática - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301877;Fosfatase ácida total - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301885;Fosfatase alcalina - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301893;Fosfatase alcalina com fracionamento de isoenzimas - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301907;Fosfatase alcalina fração óssea - Elisa - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301915;Fosfatase alcalina termo-estável - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301923;Fosfolipídios - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301931;Fósforo - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301940;Fósforo, prova de reabsorção tubular;2009-02-13;;2010-10-15
40301958;Frutosaminas (proteínas glicosiladas) - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301966;Frutose - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301974;Galactose - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301982;Galactose 1-fosfatouridil transferase, pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40301990;Gama-glutamil transferase - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302016;Gasometria (pH, pCO2, SA, O2, excesso base) - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302024;Gasometria + Hb + Ht + Na +  K + Cl + Ca + glicose + lactato (quando efetuado no gasômetro) - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302032;Glicemia após sobrecarga com dextrosol ou glicose - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302040;Glicose - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302059;Glicose-6-fosfato deidrogenase (G6FD) - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302067;Haptoglobina - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302075;Hemoglobina glicada (A1 total) - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302083;Hemoglobina plasmática livre - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302091;Hexosaminidase A - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302105;Hidroxiprolina - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302113;Homocisteína - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302121;Imipramina - desipramina - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302130;Amilase ou alfa-amilase, isoenzimas - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302148;Isomerase fosfohexose - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302156;Isoniazida - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302164;Lactose, teste de tolerância;2009-02-13;;2010-10-15
40302172;Leucino aminopeptidase - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302180;Lidocaina - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302199;Lipase - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302202;Lipase lipoprotéica - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302210;Lipoproteína (a) - Lp (a) - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302229;Lítio - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302237;Magnésio - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302245;Mioglobina, pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302253;Nitrogênio amoniacal - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302261;Nitrogênio total - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302270;Osmolalidade - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302288;Oxcarbazepina, pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302296;Piruvato quinase - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302300;Porfirinas quantitativas (cada) - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302318;Potássio - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302326;Pré-albumina - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302334;Primidona - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302342;Procainamida - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302350;Propanolol - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302369;Proteína ligadora do retinol - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302377;Proteínas totais - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302385;Proteínas totais albumina e globulina - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302393;Quinidina - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302407;Reserva alcalina (bicarbonato) - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302415;Sacarose, teste de tolerância;2009-02-13;;2010-10-15
40302423;Sódio - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302431;Succinil acetona - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302440;Sulfonamidas livre e acetilada (% de acetilação) - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302458;Tacrolimus - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302466;Tálio, pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302474;Teofilina - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302482;Teste de tolerância a insulina ou hipoglicemiantes orais (até 6 dosagens);2009-02-13;;2010-10-15
40302490;Tirosina - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302504;Transaminase oxalacética (amino transferase aspartato) - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302512;Transaminase pirúvica (amino transferase de alanina) - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302520;Transferrina - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302539;Triazolam - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302547;Triglicerídeos - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302555;Trimipramina - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302563;Tripsina imuno reativa (IRT) - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302571;Troponina - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302580;Uréia - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302598;Urobilinogênio - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302601;Vitamina A, pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302610;Vitamina E - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302628;Xilose, teste de absorção à;2009-02-13;;2010-10-15
40302636;Lipídios totais - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302644;Maltose, teste de tolerância;2009-02-13;;2010-10-15
40302652;Mucopolissacaridose, pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302660;Mucoproteínas - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302679;Ocitocinase, pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302687;Procalcitonina - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302695;Colesterol (VLDL) - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302709;Teste oral de tolerância à glicose - 2 dosagens;2009-02-13;;2010-10-15
40302717;Eletroforese de proteínas de alta resolução;2009-02-13;;2010-10-15
40302725;Imunofixação - cada fração;2009-02-13;;2010-10-15
40302733;Hemoglobina glicada (Fração A1c) - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302741;Lamotrigina - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302750;Perfil lipídico / lipidograma (lípidios totais, colesterol, triglicerídios e eletroforese lipoproteínas) - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302768;PAPP-A - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302776;Peptídeo natriurético BNP/PROBNP - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302784;Vitamina B1, pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302792;Vitamina B2, pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302806;Vitamina B3, pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302814;Vitamina B6, pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302822;Vitamina D2, pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302830;"Vitamina ""D"" 25 HIDROXI, pesquisa e/ou dosagem (Vitamina D3)";2009-02-13;;2010-10-15
40302849;Vitamina K,- pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40302857;6-Monoacetilmorfina urinária;2009-02-13;;2010-10-15
40302865;7 Dihidrocolesterol, dosagem;2009-02-13;;2010-10-15
40302873;Ácido Gama-hidroxibutirico, dosagem soro;2009-02-13;;2010-10-15
40302881;Ácido Micofenólico, dosagem soro;2009-02-13;;2010-10-15
40302890;Ácidos graxos cadeia longa;2009-02-13;;2010-10-15
40302903;Ácidos graxos cadeia muito longa;2009-02-13;;2010-10-15
40302911;AP 50, dosagem;2009-02-13;;2010-10-15
40302920;Atividade de precalicreina;2009-02-13;;2010-10-15
40302938;Beta 2 transferrina;2009-02-13;;2010-10-15
40302946;Bilirrubina transcutânea [labo];2009-02-13;;2010-10-15
40302954;Cartilagem oligomérica proteína (COMP);2009-02-13;;2010-10-15
40302962;Cistatina C;2009-02-13;;2010-10-15
40302970;Clearance de água livre;2010-09-09;2014-08-31;2010-10-15
40302989;Clearance de amilase;2009-02-13;;2010-10-15
40302997;Colágeno ensaio de ligação;2009-02-13;;2010-10-15
40303012;Alfa -1-antitripsina, (fezes) - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40303020;Anal Swab, pesquisa de oxiúrus;2009-02-13;;2010-10-15
40303039;Coprológico funcional (caracteres, pH, digestibilidade, amônia, ácidos orgânicos e interpretação);2009-02-13;;2010-10-15
40303047;Eosinófilos, pesquisa nas fezes;2009-02-13;;2010-10-15
40303055;Gordura fecal, dosagem;2009-02-13;;2010-10-15
40303063;Hematoxilina férrica, pesquisa de protozoários nas fezes;2009-02-13;;2010-10-15
40303071;Identificação de helmintos,  exame de fragmentos - nas fezes;2009-02-13;;2010-10-15
40303080;Larvas (fezes), pesquisa;2009-02-13;;2010-10-15
40303098;Leucócitos e hemácias, pesquisa nas fezes;2009-02-13;;2010-10-15
40303101;Leveduras, pesquisa nas fezes;2009-02-13;;2010-10-15
40303110;Parasitológico - nas fezes;2009-02-13;;2010-10-15
40303128;Parasitológico, colheita múltipla com fornecimento do líquido conservante nas fezes;2009-02-13;;2010-10-15
40303136;Sangue oculto, pesquisa nas fezes;2009-02-13;;2010-10-15
40303144;Shistossoma, pesquisa ovos em fragmentos mucosa após biópsia retal;2009-02-13;;2010-10-15
40303152;Substâncias redutoras nas fezes - pesquisa;2009-02-13;;2010-10-15
40303160;Tripsina, prova de (digestão da gelatina);2009-02-13;;2010-10-15
40303179;Esteatócrito, triagem para gordura fecal;2009-02-13;;2010-10-15
40303187;Estercobilinogênio fecal, dosagem;2009-02-13;;2010-10-15
40303195;Gordura fecal, pesquisa de;2009-02-13;;2010-10-15
40303209;Helicobacter pylori nas fezes;2009-02-13;;2010-10-15
40303217;Lactoferrina fecal;2009-02-13;;2010-10-15
40303225;Nitrôgenio fecal, dosagem;2009-02-13;;2010-10-15
40303233;Pesquisa de VRE;2010-09-09;2014-08-31;2010-10-15
40303241;Toxina botuliníca, pesquisa (fezes);2009-02-13;;2010-10-15
40303250;Sangue oculto nas fezes, pesquisa imunológica;2012-10-10;;2014-08-31
40303268;Oograma nas fezes;2012-10-10;;2014-08-31
40303276;Resíduos alimentares, identificação, fezes;2012-10-10;;2014-08-31
40303284;Elastase pancreática fecal;2012-10-10;;2014-08-31
40303292;Fibrinopeptídeo A, antígeno;2012-10-10;;2014-08-31
40303306;Hemoglobina A2, cromatografia;2012-10-10;;2014-08-31
40303314;Hemoglobina cromatografia;2012-10-10;;2014-08-31
40303322;TAT - complexo Trombina/Antitrombiona;2012-10-10;;2014-08-31
40303330;Dosagem fecal de calprotectina;2021-04-01;;2021-06-30
40304019;Anticoagulante lúpico, pesquisa;2009-02-13;;2010-10-15
40304027;Anticorpo anti A e B, pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40304035;Anticorpos antiplaquetários, citometria de fluxo;2009-02-13;;2010-10-15
40304043;Anticorpos irregulares - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40304051;Anticorpos irregulares, pesquisa (meio salino a temperatura ambiente e 37º e teste indireto de coombs);2009-02-13;;2010-10-15
40304060;Antitrombina III, dosagem;2009-02-13;;2010-10-15
40304078;Ativador tissular de plasminogênio (TPA) - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40304086;CD... (antígeno de dif. Celular, cada determinação) - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40304094;Citoquímica para classificar leucemia: esterase, fosfatase leucocitária, PAS, peroxidase ou SB,  etc - cada;2009-02-13;;2010-10-15
40304108;Coombs direto;2009-02-13;;2010-10-15
40304116;Enzimas  eritrocitárias,  (adenilatoquinase,  desidrogenase láctica,  fosfofructoquinase,  fosfoglicerato quinase, gliceraldeído, 3  - fosfato   desidrogenase, glicose  fosfato isomerase,  glicose 6 - fosfato desidrogenase, glutation peroxidase, glutation;2009-02-13;;2010-10-15
40304132;Falcização, teste de;2009-02-13;;2010-10-15
40304140;Fator 4 plaquetário, dosagens;2009-02-13;;2010-10-15
40304159;Fator II, dosagem;2009-02-13;;2010-10-15
40304167;Fator IX, dosagem;2009-02-13;;2010-10-15
40304175;Fator V, dosagem;2009-02-13;;2010-10-15
40304183;Fator VIII, dosagem;2009-02-13;;2010-10-15
40304191;Fator VIII, dosagem do antígeno (Von Willebrand);2009-02-13;;2010-10-15
40304205;Fator VIII, dosagem do inibidor;2009-02-13;;2010-10-15
40304213;Fator X, dosagem;2009-02-13;;2010-10-15
40304221;Fator XI, dosagem;2009-02-13;;2010-10-15
40304230;Fator XII, dosagem;2009-02-13;;2010-10-15
40304248;Fator XIII, pesquisa;2009-02-13;;2010-10-15
40304256;Fenotipagem do sistema Rh-Hr (anti Rho(D) + anti Rh(C) + anti Rh(E);2009-02-13;;2010-10-15
40304264;Fibrinogênio, teste funcional, dosagem;2009-02-13;;2010-10-15
40304272;Filária, pesquisa;2009-02-13;;2010-10-15
40304280;Grupo ABO, classificação reversa - determinação;2009-02-13;;2010-10-15
40304299;Grupo sanguíneo ABO, e fator Rho (inclui Du) - determinação;2009-02-13;;2010-10-15
40304302;Ham, teste de (hemólise ácida);2009-02-13;;2010-10-15
40304310;Heinz, corpúsculos, pesquisa;2009-02-13;;2010-10-15
40304329;Hemácias fetais, pesquisa;2009-02-13;;2010-10-15
40304337;Hematócrito, determinação do;2009-02-13;;2010-10-15
40304345;Hemoglobina, dosagem;2009-02-13;;2010-10-15
40304353;Hemoglobina (eletroforese) - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40304361;Hemograma com contagem de plaquetas ou frações (eritrograma, leucograma, plaquetas);2009-02-13;;2010-10-15
40304370;Hemossedimentação, (VHS) - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40304388;Hemossiderina (siderócitos), sangue ou urina - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40304396;Heparina, dosagem;2009-02-13;;2010-10-15
40304400;Inibidor do TPA (PAI) - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40304418;Leucócitos, contagem;2009-02-13;;2010-10-15
40304434;Meta-hemoglobina, determinação da;2009-02-13;;2010-10-15
40304450;Plaquetas, teste de agregação (por agente agregante), cada;2009-02-13;;2010-10-15
40304469;Plasminogênio, dosagem;2009-02-13;;2010-10-15
40304477;Plasmódio, pesquisa;2009-02-13;;2010-10-15
40304485;Medula óssea, aspiração para mielograma ou microbiológico;2009-02-13;;2010-10-15
40304493;Produtos de degradação da fibrina, qualitativo - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40304507;Proteína C - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40304515;Proteína S, teste funcional;2009-02-13;;2010-10-15
40304523;Protoporfirina eritrocitária livre - zinco - pesquisa e/ou dosagem;2009-02-13;;2010-10-15
40304531;Prova do laço;2009-02-13;;2010-10-15
40304540;Resistência globular, curva de;2009-02-13;;2010-10-15
40304558;Reticulócitos, contagem;2009-02-13;;2010-10-15
40304566;Retração do coágulo - pesquisa;2009-02-13;;2010-10-15
40304574;Ristocetina, co-fator, teste funcional, dosagem;2009-02-13;;2010-10-15
40304582;Tempo de coagulação - determinação;2009-02-13;;2010-10-15
40304590;Tempo de protrombina - determinação;2009-02-13;;2010-10-15
40304604;Tempo de reptilase - determinação;2009-02-13;;2010-10-15
40304612;Tempo de sangramento de IVY - deteminação;2009-02-13;;2010-10-15
40304620;Tempo de trombina - determinação;2009-02-13;;2010-10-15
40304639;Tempo de tromboplastina parcial ativada - determinação;2009-02-13;;2010-10-15
